평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000003,211035,서울시립대학교 도서관,서울,동대문구,1159305,25,4959,80627,3303341248
2022,LIBTYPE000003,241023,서울신학대학교 도서관,경기,부천시,354883,1,1282,16702,157532695
2022,LIBTYPE000003,211030,서울여자간호대학교 도서관,서울,서대문구,40395,0,180,3636,43080239
2022,LIBTYPE000003,211036,서울여자대학교 도서관,서울,노원구,729796,3,2827,168636,671939290
2022,LIBTYPE000003,211037,서울예술대학교 예술정보센터,서울,안산시,116811,1,1297,5861,185296537
2022,LIBTYPE000003,L0033,서울외국어대학원대학교 도서관,서울,서초구,3398,1,0,0,0
2022,LIBTYPE000003,241024,서울장신대학교 도서관,서울,광주시,127719,2,161,2535,66194035
2022,LIBTYPE000003,211056,서울한영대학교 도서관,서울,구로구,136936,2,157,2027,46638320
2022,LIBTYPE000003,243003,서원대학교 도서관,충북,청주시,750891,2,1313,15232,383999723
2022,LIBTYPE000003,211038,서일대학교 도서관,서울,중랑구,198119,2,284,3934,184789179
2022,LIBTYPE000003,241086,서정대학교 중앙도서관,경기,양주시,97179,0,72,499,134808847
2022,LIBTYPE000003,247014,선린대학교 도서관,경북,포항시,89342,1,140,1424,41796080
2022,LIBTYPE000003,244008,선문대학교 중앙도서관,충남,아산시,759747,3,2307,79297,789998067
2022,LIBTYPE000003,241079,선학유피대학원대학교 도서관,경기,가평군,41908,1,89,1624,10522270
2022,LIBTYPE000003,241025,성결대학교 학술정보관,경기,안양시,589259,3,1068,26672,357975213
2022,LIBTYPE000003,211039,성공회대학교 도서관,서울,구로구,269610,3,829,12410,189804436
2022,LIBTYPE000003,211040,성균관대학교 학술정보관,서울,종로구,2206504,9,14367,206556,5131540013
2022,LIBTYPE000003,223013,성산효대학원대학교 도서관,인천,남동구,28260,1,26,363,11372000
2022,LIBTYPE000003,241084,성서침례대학원대학교 초헌도서관,경기,이천시,24164,0,44,1674,6379987
2022,LIBTYPE000003,211041,성신여자대학교 도서관,서울,성북구,1011868,4,3288,81023,649342513
2022,LIBTYPE000003,247035,성운대학교 학술정보센터,경북,영천시,54548,1,96,821,32206000
2022,LIBTYPE000003,242015,세경대학교 도서관,강원,영월군,49928,2,121,563,21168000
2022,LIBTYPE000003,243004,세명대학교 민송도서관,충북,제천시,656700,2,1283,37297,451833825
2022,LIBTYPE000003,211042,세종대학교 학술정보원,서울,광진구,974406,6,3687,43451,1548044008
2022,LIBTYPE000003,246014,세한대학교 도서관,충남,당진시,355504,3,120,1836,212978877
2022,LIBTYPE000003,242023,송곡대학교 도서관,강원,춘천시,18602,1,121,716,15267520
2022,LIBTYPE000003,224009,송원대학교 중앙도서관,광주,남구,261992,3,198,9172,170511761
2022,LIBTYPE000003,242022,송호대학교 도서관,강원,횡성군,47428,0,161,1659,20431895
2022,LIBTYPE000003,211081,수도국제대학원대학교 도서관,서울,관악구,22869,1,90,797,2326820
2022,LIBTYPE000003,222012,수성대학교 도서관,대구,수성구,128640,1,840,31360,136260697
2022,LIBTYPE000003,241030,수원가톨릭대학교 도서관,경기,화성시,145567,2,278,12035,126538280
2022,LIBTYPE000003,241033,수원과학대학교 도서관,경기,화성시,229965,1,734,6743,102028151
2022,LIBTYPE000003,241031,수원대학교 도서관,경기,화성시,936582,1,3532,16345,569352550
2022,LIBTYPE000003,241032,수원여자대학교 도서관,경기,수원시,199450,3,573,14261,122625489
2022,LIBTYPE000003,211043,숙명여자대학교 도서관,서울,용산구,1288170,8,5915,176754,1989049955
2022,LIBTYPE000003,211098,순복음대학원대학교 도서관,서울,관악구,29037,0,15,36,0
2022,LIBTYPE000003,243025,순복음총회신학교 도서관,충북,제천시,25247,0,0,0,0
2022,LIBTYPE000003,246008,순천대학교 도서관,전남,순천시,804086,12,2499,32012,898561000
2022,LIBTYPE000003,246007,순천제일대학교 도서관,전남,순천시,118765,1,350,4596,58835133
2022,LIBTYPE000003,244009,순천향대학교 중앙도서관,충남,아산시,865342,6,2867,46318,1488494833
2022,LIBTYPE000003,211044,숭실대학교 도서관,서울,동작구,1176086,8,6443,111771,2198515642
2022,LIBTYPE000003,211107,숭실사이버대학교 전자도서관,서울,동작구,9519,0,48,70,0
